Species    Freq.     Unc.     J'(K-',K+') - J''(K-'',K+'')   F'  F1' -  F''  F1''  Vib.     Ref.                                                              

H_216O    22235.044  (1E-3)        6(1,6) -        5( 2,3)    7      -    6        (0,0,0)  [69033]
          25837.40   (0.03)        5(3,2) -        4( 4,1)      15/2 -       13/2  (0,0,0)                                                                    
          25838.55   (0.03)        5(3,2) -        4( 4,1)       5/2 -        3/2  (0,0,0)                                                                    
          30414.69   (0.03)        9(6,4) -        8( 7,1)      21/2 -       19/2  (0,0,0)                                                                    
          30415.38   (0.03)        9(6,4) -        8( 7,1)      15/2 -       13/2  (0,0,0)                                                                    
          30415.90   (0.03)        9(6,4) -        8( 7,1)      23/2 -       21/2  (0,0,0)                                                                    
          31099.88   (0.03)        9(6,3) -        8( 7,2)      21/2 -       19/2  (0,0,0)                                                                    
          31100.57   (0.03)        9(6,3) -        8( 7,2)      15/2 -       13/2  (0,0,0)                                                                    
          31101.09   (0.03)        9(6,3) -        8( 7,2)      23/2 -       21/2  (0,0,0)                                                                    
          34453.65   (0.03)        9(8,2) -       10( 7,3)      13/2 -       15/2  (0,0,0)                                                                    
          34453.89   (0.03)        9(8,2) -       10( 7,3)      23/2 -       25/2  (0,0,0)                                                                    
          34454.47   (0.03)        9(8,2) -       10( 7,3)      15/2 -       17/2  (0,0,0)                                                                    
          34455.07   (0.03)        9(8,2) -       10( 7,3)      21/2 -       23/2  (0,0,0)                                                                    
          34455.25   (0.03)        9(8,2) -       10( 7,3)      19/2 -       21/2  (0,0,0)                                                                    
          34544.00   (0.03)        9(8,1) -       10( 7,4)      13/2 -       15/2  (0,0,0)                                                                    
          34544.30   (0.03)        9(8,1) -       10( 7,4)      23/2 -       25/2  (0,0,0)                                                                    
          34544.86   (0.03)        9(8,1) -       10( 7,4)      15/2 -       17/2  (0,0,0)                                                                    
          34545.42   (0.03)        9(8,1) -       10( 7,4)      21/2 -       23/2  (0,0,0)                                                                    
          34545.66   (0.03)        9(8,1) -       10( 7,4)      19/2 -       21/2  (0,0,0)                                                                    
          66237.71   (0.03)        4(2,3) -        3( 3,0)      11/2 -        9/2  (0,0,0)                                                                    
          66239.06   (0.03)        4(2,3) -        3( 3,0)       7/2 -        5/2  (0,0,0)                                                                    
          66240.57   (0.03)        4(2,3) -        3( 3,0)      13/2 -       11/2  (0,0,0)                                                                    
          66242.26   (0.03)        4(2,3) -        3( 3,0)       3/2 -        1/2  (0,0,0)                                                                    
         123366.05   (0.06)        8(5,4) -        7( 6,1)      19/2 -       17/2  (0,0,0)                                                                    
         123367.39   (0.06)        8(5,4) -        7( 6,1)      21/2 -       19/2  (0,0,0)                                                                    
         128097.22   (0.06)        8(5,3) -        7( 6,2)      19/2 -       17/2  (0,0,0)                                                                    
         128098.61   (0.06)        8(5,3) -        7( 6,2)      21/2 -       19/2  (0,0,0)                                                                    
         135432.50   (0.06)        5(5,1) -        6( 4,2)       5/2 -        7/2  (0,0,0)                                                                    
         135433.57   (0.06)        5(5,1) -        6( 4,2)      15/2 -       17/2  (0,0,0)                                                                    
         135435.29   (0.06)        5(5,1) -        6( 4,2)      13/2 -       15/2  (0,0,0)                                                                    
         143561.15   (0.06)        5(5,0) -        6( 4,3)       5/2 -        7/2  (0,0,0)                                                                    
         143562.09   (0.06)        5(5,0) -        6( 4,3)      15/2 -       17/2  (0,0,0)                                                                    
         143564.01   (0.06)        5(5,0) -        6( 4,3)      13/2 -       15/2  (0,0,0)                                                                    
         159238.51   (0.06)        4(1,4) -        3( 2,1)      11/2 -        9/2  (0,0,0)                                                                    
         159239.56   (0.06)        4(1,4) -        3( 2,1)       7/2 -        5/2  (0,0,0)                                                                    
         159241.68   (0.06)        4(1,4) -        3( 2,1)      13/2 -       11/2  (0,0,0)                                                                    
         159243.21   (0.06)        4(1,4) -        3( 2,1)       3/2 -        1/2  (0,0,0)                                                                    
         183551.83   (0.09)        5(1,5) -        4( 2,2)      13/2 -       11/2  (0,0,0)                                                                    
         183554.34   (0.09)        5(1,5) -        4( 2,2)      15/2 -       13/2  (0,0,0)                                                                    
         236524.84   (0.09)        7(4,4) -        6( 5,1)      17/2 -       15/2  (0,0,0)                                                                    
         255077.37   (0.12)        4(2,2) -        3( 3,1)      11/2 -        9/2  (0,0,0)                                                                    
         255079.26   (0.12)        4(2,2) -        3( 3,1)      13/2 -       11/2  (0,0,0)                                                                    
         264698.58   (0.12)        7(4,3) -        6( 5,2)      17/2 -       15/2  (0,0,0)                                                                    
         311850.63   (0.12)        1(1,0) -        1( 0,1)       7/2 -        7/2  (0,0,0)                                                                    
         311852.38   (0.12)        1(1,0) -        1( 0,1)       7/2 -        5/2  (0,0,0)                                                                    
         399650.88   (0.15)        2(1,1) -        2( 0,2)       9/2 -        9/2  (0,0,0)                                                                    
